location,population,positive_rate,case_rate_per_100k,mortality_rate_per_100k,testing_rate_per_1k,vaccination_rate_pct,hospitalization_rate_per_100k,icu_rate_per_100k,case_fatality_rate_pct,recent_case_growth,recent_death_growth,case_to_test_ratio,days_to_peak,peak_case_rate_per_100k,recovery_speed,days_to_50pct_vax,vax_acceleration
Indonesia,275501344,,2478.8986147377923,58.823306502635425,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,2.372961368928657,4.476190476190476,0.0,0.0,714.0,141.46101588528003,-8.748858608903852,385.0,0.13257198115742067
Iran,88550568,,8614.132209744832,165.8227646828872,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.9250083542402374,0.0,0.0,0.0,539.0,304.8822905348275,-12.444394760010438,221.0,0.08852641477716885
Iraq,44496124,,5541.033192014657,57.02743906413062,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.029184216876999,0.0,0.0,0.0,518.0,186.7533450778769,-3.1527079533532505,209.0,0.03038240631489457
Ireland,5023108,,34741.20006975761,193.98348592146536,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.558367257123996,126.14285714285714,1.1904761904761905,0.0,679.0,2938.0813631719643,-3.345877272045245,57.0,0.021994684075017625
Isle of Man,84534,,44961.79052215676,137.22289256393876,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.3051989054935803,0.0,0.0,0.0,833.0,3125.369673740743,-0.015046230321646889,157.0,0.20088156540401828
Israel,9449000,,51238.840088898294,134.47983913641656,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.26245683724123514,0.0,0.0,0.0,707.0,5235.823896708646,-14.591410926340512,97.0,0.041016685616468776
Italy,59037472,,45362.84683734426,334.20638336275647,0.0,67.78886500980508,2.8084564099673286,0.08073968117514697,0.7367403209086654,1397.5833333333333,3.375,0.0,714.0,2148.047599328101,-78.94818957721287,203.0,0.06957745536866064
Jamaica,2827382,,5559.241729628327,127.71532109916524,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,2.297351461054453,3.0476190476190474,0.047619047619047616,0.0,672.0,325.17714267120607,-0.2265707929958199,209.0,0.02891988436300231
Japan,123951696,,27271.568756913177,60.26057118250323,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.2209648140143296,0.0,0.0,0.0,931.0,1207.7027167099027,-164.06746907266555,176.0,0.09884365983533645
Jersey,110796,,59921.83833351384,145.3121051301491,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.24250274886656326,0.0,0.0,0.0,665.0,3190.5483952489258,-0.21487811135872667,115.0,0.05781906477746664
Jordan,11285875,,15479.499817249436,125.12986365700489,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,0.8083585718807761,0.0,0.0,0.0,707.0,1210.0701097610952,-1.9731307248311163,209.0,0.0992465453545419
Kazakhstan,19397998,,7755.284849498386,98.31942450968394,0.0,67.78886500980508,0.21161537748486647,0.021358694932478755,1.2677732206837413,0.0,0.0,0.0,679.0,501.3816374246456,-1.4989587192404101,518.0,0.09606244132748377
